timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
100,00001,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
100,00002,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
200,00001,111,3,139,139,1,57,0,1039,827,422,239,378,80,212,327939,167,255,80,300,237,0,0,0,153,313,337,31,205,103548,3,274,232,3,22,249,42,149749,23.530714,3,0,1,33,237,0,0,0,0,0,38,31,205,1909,6730.886281,11100.000000
200,00002,111,3,139,139,1,57,0,1039,827,422,239,378,80,212,327939,167,255,80,300,237,0,0,0,153,313,337,31,205,103548,3,370,298,39,202,129,72,129557,37.207321,3,36,64,267,0,0,0,0,0,71,299,0,0,20292,4367.343796,9850.000000
200,00009,111,3,139,139,1,57,0,1039,827,422,239,378,80,212,327939,167,255,80,300,237,0,0,0,153,313,337,31,205,103548,3,395,297,380,15,0,98,48633,20.141523,161,219,15,0,0,0,0,0,153,242,0,0,0,81347,2516.785281,4920.000000
300,00004,111,3,139,139,1,7,0,159,78,159,0,0,11,81,20000,159,0,0,0,0,0,53,48,58,0,0,0,0,602962,3,44,11,44,0,0,33,3604,3.367296,44,0,0,0,0,0,44,0,0,0,0,0,0,153745,8871.689242,6070.000000
300,00011,111,3,139,139,1,7,0,159,78,159,0,0,11,81,20000,159,0,0,0,0,0,53,48,58,0,0,0,0,602962,3,30,12,30,0,0,18,2382,2.228358,30,0,0,0,0,0,9,21,0,0,0,0,0,236220,14149.741365,5240.000000
300,00013,111,3,139,139,1,7,0,159,78,159,0,0,11,81,20000,159,0,0,0,0,0,53,48,58,0,0,0,0,602962,3,85,55,85,0,0,30,14014,6.016566,85,0,0,0,0,0,0,27,58,0,0,0,0,212997,10319.297908,5970.000000
500,00008,111,3,139,139,1,1,0,103,55,103,0,0,2,48,8315,90,13,0,0,0,0,48,13,38,4,0,0,0,1008112,2,58,28,58,0,0,30,5385,1.829078,45,13,0,0,0,0,25,7,22,4,0,0,0,516018,18910.962780,5240.000000
500,00012,111,3,139,139,1,1,0,103,55,103,0,0,2,48,8315,90,13,0,0,0,0,48,13,38,4,0,0,0,1008112,2,45,27,45,0,0,18,2930,1.427573,45,0,0,0,0,0,23,6,16,0,0,0,0,492094,11442.450718,5240.000000
