% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
4.802	1	0	2	1843.66	0
4.803	1	0	3	342.33	0
4.804	1	0	4	369.611	0
4.805	1	0	5	166.604	0
4.806	1	0	6	190.978	0
4.807	1	0	7	151.573	0
4.808	1	0	8	656.468	0
4.809	1	0	9	383.571	0
4.81	1	0	10	147.786	0
4.811	1	0	11	223.679	0
4.812	1	0	12	467.46	0
4.813	1	0	13	290.427	0
4.814	1	0	14	160.308	0
