timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00005,2,1,0,0,5,5,39.131258,125.000000,2,-4.036390,38.000000,4,-8.388994,29.000000,7,-8.600804,29.000000,6,-19.229110,8.000000,8,-19.235058,8.000000,3,-29.976048,0.000000,,,,,,
100,00007,2,1,0,0,5,7,12.444294,71.000000,6,13.783486,74.000000,4,3.302715,53.000000,7,3.284245,53.000000,2,-5.375439,36.000000,3,-13.790708,19.000000,8,-21.073123,4.000000,,,,,,
200,00007,2,2,0,0,5,7,16.005160,79.000000,6,9.760090,66.000000,2,0.207995,47.000000,7,-1.253954,44.000000,4,-2.979468,40.000000,3,-15.140427,16.000000,8,-21.947244,2.000000,,,,,,
200,00006,2,2,0,0,5,6,-13.069687,20.000000,2,27.047134,101.000000,8,8.307806,63.000000,7,3.227995,53.000000,4,2.505716,51.000000,3,2.004393,50.000000,6,-13.070788,20.000000,,,,,,
300,00006,4,4,0,0,5,6,-14.996817,16.000000,2,30.464620,108.000000,8,10.744844,68.000000,3,6.549033,60.000000,4,-0.800799,45.000000,7,-2.781403,41.000000,6,-13.085283,20.000000,,,,,,
300,00003,4,4,0,0,5,3,4.592650,56.000000,6,13.893248,74.000000,3,10.040836,67.000000,4,4.271325,55.000000,2,1.617656,50.000000,7,-5.141264,36.000000,8,-16.832577,12.000000,,,,,,
300,00002,4,4,0,0,5,2,-4.113921,38.000000,8,13.493132,74.000000,3,12.270446,71.000000,2,7.339406,61.000000,7,-3.124187,40.000000,4,-10.987144,24.000000,6,-14.296840,18.000000,,,,,,
300,00012,4,4,0,0,5,12,-6.990520,32.000000,4,10.035810,67.000000,8,8.925311,64.000000,3,5.459526,57.000000,2,5.064092,57.000000,7,-12.926233,20.000000,6,-15.382805,15.000000,,,,,,
400,00006,3,3,0,0,5,6,-15.660655,15.000000,2,31.513838,110.000000,8,9.801972,66.000000,3,3.789373,54.000000,7,2.479270,51.000000,4,0.146813,47.000000,6,-15.267155,16.000000,,,,,,
400,00012,3,3,0,0,5,12,-7.809801,31.000000,4,8.724797,64.000000,8,6.436623,59.000000,3,4.140841,55.000000,2,0.231477,47.000000,7,-14.621362,17.000000,6,-17.374508,11.000000,,,,,,
