timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00003,3,1,0,0,6,3,14.601087,76.000000,3,9.411459,65.000000,2,6.210450,59.000000,4,6.132547,59.000000,5,-1.740021,43.000000,7,-4.803870,37.000000,8,-19.436273,7.000000,,,,,,
100,00010,3,1,0,0,6,10,23.859848,94.000000,5,15.696583,78.000000,2,4.069440,55.000000,7,0.874370,48.000000,8,-0.068975,46.000000,4,-5.000744,36.000000,3,-15.510707,15.000000,,,,,,
100,00014,3,1,0,0,6,14,6.649500,60.000000,5,8.162964,63.000000,7,6.746697,60.000000,4,-1.987780,42.000000,2,-2.929865,40.000000,3,-16.739566,13.000000,8,-30.891143,0.000000,,,,,,
200,00010,3,3,0,0,6,10,20.397222,87.000000,5,13.796836,74.000000,7,4.691153,56.000000,2,3.381473,53.000000,8,-0.763293,45.000000,4,-9.791762,27.000000,3,-16.616888,13.000000,,,,,,
200,00005,3,3,0,0,6,5,-14.385677,17.000000,5,36.339563,120.000000,2,-3.263340,40.000000,7,-5.516302,35.000000,4,-9.862874,26.000000,8,-16.835411,12.000000,3,-29.415304,0.000000,,,,,,
200,00011,3,3,0,0,6,11,-4.467611,37.000000,7,2.162836,51.000000,2,1.845686,50.000000,8,-1.377166,44.000000,5,-6.887732,32.000000,3,-9.759330,27.000000,4,-19.177859,8.000000,,,,,,
300,00010,2,2,0,0,6,10,20.736131,88.000000,5,12.437104,71.000000,7,6.986763,60.000000,2,3.442988,53.000000,8,-1.494227,43.000000,4,-8.101217,30.000000,3,-11.746818,23.000000,,,,,,
300,00008,2,2,0,0,6,8,-8.068832,30.000000,4,10.559381,68.000000,2,6.877673,60.000000,3,5.677384,58.000000,5,-6.575569,33.000000,8,-9.371239,27.000000,7,-28.256622,0.000000,,,,,,
400,00010,3,3,0,0,6,10,22.083063,91.000000,5,15.952955,79.000000,2,5.833626,58.000000,7,2.353059,51.000000,8,-1.087985,44.000000,3,-6.648063,33.000000,4,-7.306393,32.000000,,,,,,
400,00008,3,3,0,0,6,8,-10.113808,26.000000,4,9.815695,66.000000,2,6.654777,60.000000,3,3.489442,53.000000,5,0.397773,47.000000,8,-11.118442,24.000000,7,-26.182518,0.000000,,,,,,
400,00013,3,3,0,0,6,13,-15.289832,16.000000,8,9.854988,66.000000,3,-0.149764,46.000000,2,-0.904234,45.000000,4,-1.386604,44.000000,7,-6.283901,34.000000,5,-8.614910,29.000000,,,,,,
500,00003,1,1,0,0,6,3,11.043090,69.000000,3,8.713106,64.000000,2,6.808337,60.000000,5,6.561957,60.000000,4,2.166537,51.000000,7,-4.849063,37.000000,8,-13.080507,20.000000,,,,,,
600,00003,1,1,0,0,6,3,11.966477,70.000000,3,12.013303,71.000000,5,6.508434,59.000000,4,2.970746,52.000000,2,2.603643,52.000000,8,-7.601501,31.000000,7,-7.888169,30.000000,,,,,,
700,00010,1,1,0,0,6,10,22.364065,91.000000,5,9.187424,65.000000,2,5.608764,58.000000,7,5.529651,58.000000,8,3.870107,54.000000,3,-8.389039,29.000000,4,-12.980764,20.000000,,,,,,
