% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
408	1	0	4	0	28	9422	0	1	1	0
409	1	0	1	0	24	6882	0	1	1	0
410	1	0	5	0	24	6882	0	1	1	0
411	1	0	6	0	26	7708	0	1	1	0
412	1	0	7	0	24	6882	0	1	1	0
413	1	0	8	0	28	9422	0	1	1	0
414	1	0	9	0	28	9422	0	1	1	0
415	1	0	10	0	24	6882	0	1	1	0
416	1	0	11	0	26	7708	0	1	1	0
417	1	0	12	0	28	9422	0	1	1	0
418	1	0	13	0	28	9422	0	1	1	0
419	1	0	14	0	24	6882	0	1	1	0
434	1	0	2	0	28	9422	0	1	1	0
435	1	0	3	0	28	9422	0	1	1	0
436	1	0	4	0	28	9422	0	1	1	0
437	1	0	1	0	24	6882	0	1	1	0
438	1	0	5	0	24	6882	0	1	1	0
439	1	0	6	0	26	7708	0	1	1	0
440	1	0	7	0	24	6882	0	1	1	0
441	1	0	8	0	28	9422	0	1	1	0
442	1	0	9	0	28	9422	0	1	1	0
443	1	0	10	0	24	6882	0	1	1	0
444	1	0	11	0	26	7708	0	1	1	0
445	1	0	12	0	28	9422	0	1	1	0
446	1	0	13	0	28	9422	0	1	1	0
447	1	0	14	0	24	6882	0	1	1	0
462	1	0	2	0	28	9422	0	1	1	0
463	1	0	3	0	28	9422	0	1	1	0
464	1	0	4	0	28	9422	0	1	1	0
465	1	0	1	0	24	6882	0	1	1	0
466	1	0	5	0	24	6882	0	1	1	0
467	1	0	6	0	26	7708	0	1	1	0
468	1	0	7	0	24	6882	0	1	1	0
469	1	0	8	0	28	9422	0	1	1	0
470	1	0	9	0	28	9422	0	1	1	0
471	1	0	10	0	24	6882	0	1	1	0
472	1	0	11	0	26	7708	0	1	1	0
473	1	0	12	0	28	9422	0	1	1	0
474	1	0	13	0	28	9422	0	1	1	0
475	1	0	14	0	24	6882	0	1	1	0
490	1	0	2	0	28	9422	0	1	1	0
491	1	0	3	0	28	9422	0	1	1	0
492	1	0	4	0	28	9422	0	1	1	0
493	1	0	1	0	24	6882	0	1	1	0
494	1	0	5	0	24	6882	0	1	1	0
495	1	0	6	0	26	7708	0	1	1	0
496	1	0	7	0	24	6882	0	1	1	0
497	1	0	8	0	28	9422	0	1	1	0
498	1	0	9	0	28	9422	0	1	1	0
499	1	0	10	0	24	6882	0	1	1	0
500	1	0	11	0	26	7708	0	1	1	0
501	1	0	12	0	28	9422	0	1	1	0
502	1	0	13	0	28	9422	0	1	1	0
503	1	0	14	0	24	6882	0	1	1	0
518	1	0	2	0	28	9422	0	1	1	0
519	1	0	3	0	28	9422	0	1	1	0
520	1	0	4	0	28	9422	0	1	1	0
521	1	0	1	0	24	6882	0	1	1	0
522	1	0	5	0	24	6882	0	1	1	0
523	1	0	6	0	26	7708	0	1	1	0
524	1	0	7	0	24	6882	0	1	1	0
525	1	0	8	0	28	9422	0	1	1	0
526	1	0	9	0	28	9422	0	1	1	0
527	1	0	10	0	24	6882	0	1	1	0
528	1	0	11	0	26	7708	0	1	1	0
529	1	0	12	0	28	9422	0	1	1	0
530	1	0	13	0	28	9422	0	1	1	0
531	1	0	14	0	24	6882	0	1	1	0
546	1	0	2	0	28	9422	0	1	1	0
547	1	0	3	0	28	9422	0	1	1	0
548	1	0	4	0	28	9422	0	1	1	0
549	1	0	1	0	24	6882	0	1	1	0
550	1	0	5	0	24	6882	0	1	1	0
551	1	0	6	0	26	7708	0	1	1	0
552	1	0	7	0	24	6882	0	1	1	0
