0.1,1,2901.66,1778.21
0.1,2,2447.69,1590.79
0.1,3,1761.58,2398.09
0.1,4,1906.39,1060.71
0.1,5,1425.35,2745.87
0.1,6,2243.98,1917.05
0.1,7,1411.62,2110.57
0.1,8,2571.19,2362.95
0.1,9,2506.79,1347.85
0.1,10,1240.55,1990.88
0.1,11,1620.45,1635.73
0.1,12,2819.46,2344.49
0.1,13,2581.26,1801.69
0.1,14,1259.95,2578.14
0.2,1,2901.36,1778.1
0.2,2,2447.77,1590.98
0.2,3,1761.77,2397.93
0.2,4,1906.11,1060.49
0.2,5,1425.55,2746.04
0.2,6,2244.25,1917.04
0.2,7,1411.81,2110.86
0.2,8,2571.15,2363.16
0.2,9,2507.06,1347.69
0.2,10,1240.21,1990.74
0.2,11,1620.35,1635.51
0.2,12,2819.72,2344.38
0.2,13,2581.58,1801.8
0.2,14,1259.75,2578.4
0.3,1,2901.06,1777.98
0.3,2,2447.85,1591.17
0.3,3,1761.97,2397.77
0.3,4,1905.84,1060.27
0.3,5,1425.76,2746.21
0.3,6,2244.52,1917.03
0.3,7,1412.01,2111.15
0.3,8,2571.11,2363.37
0.3,9,2507.32,1347.54
0.3,10,1239.87,1990.59
0.3,11,1620.25,1635.3
0.3,12,2819.99,2344.28
0.3,13,2581.91,1801.92
0.3,14,1259.55,2578.66
0.4,1,2900.76,1777.87
0.4,2,2447.93,1591.36
0.4,3,1762.17,2397.6
0.4,4,1905.56,1060.05
0.4,5,1425.97,2746.38
0.4,6,2244.8,1917.01
0.4,7,1412.21,2111.44
0.4,8,2571.07,2363.58
0.4,9,2507.59,1347.38
0.4,10,1239.53,1990.45
0.4,11,1620.15,1635.09
0.4,12,2820.25,2344.18
0.4,13,2582.23,1802.04
0.4,14,1259.35,2578.92
0.5,1,2900.46,1777.75
0.5,2,2448.01,1591.55
0.5,3,1762.36,2397.44
0.5,4,1905.28,1059.83
0.5,5,1426.18,2746.56
0.5,6,2245.07,1917
0.5,7,1412.41,2111.74
0.5,8,2571.03,2363.79
0.5,9,2507.85,1347.23
0.5,10,1239.2,1990.31
0.5,11,1620.06,1634.87
0.5,12,2820.52,2344.07
0.5,13,2582.56,1802.16
0.5,14,1259.15,2579.18
0.6,1,2900.16,1777.64
0.6,2,2448.09,1591.74
0.6,3,1762.56,2397.28
0.6,4,1905.01,1059.61
0.6,5,1426.38,2746.73
0.6,6,2245.35,1916.99
0.6,7,1412.61,2112.03
0.6,8,2571,2364
0.6,9,2508.12,1347.08
0.6,10,1238.86,1990.16
0.6,11,1619.96,1634.66
0.6,12,2820.78,2343.97
0.6,13,2582.88,1802.28
0.6,14,1258.95,2579.45
0.7,1,2899.86,1777.52
0.7,2,2448.17,1591.93
0.7,3,1762.76,2397.11
0.7,4,1904.73,1059.39
0.7,5,1426.59,2746.9
0.7,6,2245.62,1916.97
0.7,7,1412.81,2112.32
0.7,8,2570.96,2364.21
0.7,9,2508.38,1346.92
0.7,10,1238.52,1990.02
0.7,11,1619.86,1634.44
0.7,12,2821.05,2343.87
0.7,13,2583.21,1802.4
0.7,14,1258.75,2579.71
0.8,1,2899.55,1777.41
0.8,2,2448.25,1592.12
0.8,3,1762.95,2396.95
0.8,4,1904.45,1059.17
0.8,5,1426.8,2747.07
0.8,6,2245.89,1916.96
0.8,7,1413.01,2112.61
0.8,8,2570.92,2364.42
0.8,9,2508.64,1346.77
0.8,10,1238.18,1989.87
0.8,11,1619.76,1634.23
0.8,12,2821.32,2343.77
0.8,13,2583.53,1802.52
0.8,14,1258.55,2579.97
0.9,1,2899.25,1777.29
0.9,2,2448.33,1592.31
0.9,3,1763.15,2396.79
0.9,4,1904.18,1058.96
0.9,5,1427,2747.24
0.9,6,2246.17,1916.95
0.9,7,1413.2,2112.9
0.9,8,2570.88,2364.63
0.9,9,2508.91,1346.61
0.9,10,1237.84,1989.73
0.9,11,1619.66,1634.01
0.9,12,2821.58,2343.66
0.9,13,2583.86,1802.63
0.9,14,1258.35,2580.23
1,1,2898.95,1777.18
1,2,2448.41,1592.5
1,3,1763.35,2396.62
1,4,1903.9,1058.74
1,5,1427.21,2747.42
1,6,2246.44,1916.93
1,7,1413.4,2113.2
1,8,2570.84,2364.84
1,9,2509.17,1346.46
1,10,1237.51,1989.58
1,11,1619.56,1633.8
1,12,2821.85,2343.56
1,13,2584.18,1802.75
1,14,1258.15,2580.49
1.1,1,2898.65,1777.07
1.1,2,2448.49,1592.69
1.1,3,1763.54,2396.46
1.1,4,1903.62,1058.52
1.1,5,1427.42,2747.59
1.1,6,2246.72,1916.92
