timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00011,1,0,0,0,7,11,2.715482,52.000000,2,0.577406,48.000000,8,-0.724459,45.000000,6,-3.605549,39.000000,5,-7.162272,32.000000,3,-8.269080,30.000000,4,-18.157146,10.000000,,,,,,
200,00008,2,2,0,0,7,8,-22.904101,0.000000,2,9.882193,66.000000,4,9.149150,65.000000,3,6.090048,59.000000,5,-3.459074,39.000000,8,-7.286238,32.000000,6,-7.919908,30.000000,,,,,,
200,00013,2,2,0,0,7,13,-8.326347,30.000000,2,7.571827,62.000000,8,5.326053,57.000000,3,4.473436,55.000000,4,-4.776100,37.000000,5,-12.386172,21.000000,6,-15.727413,15.000000,,,,,,
300,00001,2,2,0,0,7,1,-7.739483,31.000000,3,23.978554,95.000000,2,8.662309,64.000000,4,-0.811647,45.000000,8,-4.201241,38.000000,5,-15.326742,15.000000,6,-22.068021,2.000000,,,,,,
300,00007,2,2,0,0,7,7,-3.871611,39.000000,5,13.209924,73.000000,6,9.354347,65.000000,2,-0.070332,46.000000,4,-3.480412,39.000000,3,-11.828933,23.000000,8,-19.584538,7.000000,,,,,,
400,00001,3,3,0,0,7,1,-8.125147,30.000000,3,23.112692,93.000000,2,4.740508,56.000000,4,1.715766,50.000000,8,-4.691908,37.000000,5,-14.717732,17.000000,6,-21.610335,3.000000,,,,,,
400,00007,3,3,0,0,7,7,-1.468455,43.000000,6,11.236936,69.000000,5,10.044831,67.000000,2,0.427269,47.000000,4,-2.371786,42.000000,3,-13.996902,18.000000,8,-21.161368,4.000000,,,,,,
400,00004,3,3,0,0,7,4,9.540171,66.000000,2,22.649779,92.000000,8,8.940425,64.000000,6,1.622319,50.000000,5,-8.245777,30.000000,3,-10.554766,25.000000,4,-11.554902,23.000000,,,,,,
500,00004,3,3,0,0,7,4,5.334123,57.000000,2,21.515688,90.000000,8,17.104495,81.000000,6,-3.291667,40.000000,5,-8.507100,29.000000,4,-11.521651,23.000000,3,-13.543984,19.000000,,,,,,
500,00002,3,3,0,0,7,2,-4.600762,37.000000,8,16.924381,80.000000,3,13.101614,73.000000,2,9.024856,65.000000,5,2.692419,52.000000,6,-13.827234,18.000000,4,-16.674771,13.000000,,,,,,
500,00011,3,3,0,0,7,11,4.465647,55.000000,6,3.195926,53.000000,3,-0.980954,44.000000,2,-2.681885,41.000000,8,-4.929845,36.000000,5,-6.517117,33.000000,4,-22.851225,0.000000,,,,,,
700,00003,4,4,0,0,7,3,-9.790287,27.000000,6,13.357445,73.000000,3,7.141012,61.000000,5,6.523279,60.000000,4,4.969707,56.000000,2,2.114194,51.000000,8,-7.085024,32.000000,,,,,,
700,00006,4,4,0,0,7,6,3.596187,54.000000,2,28.171778,103.000000,8,15.083501,77.000000,3,7.093204,61.000000,4,-0.207042,46.000000,6,-12.479472,21.000000,5,-16.460408,13.000000,,,,,,
700,00004,4,4,0,0,7,4,2.189715,51.000000,2,16.224365,79.000000,8,12.478571,72.000000,4,-7.229553,32.000000,6,-7.644728,31.000000,5,-10.174027,26.000000,3,-17.269183,12.000000,,,,,,
700,00014,4,4,0,0,7,14,3.885439,54.000000,5,19.395593,85.000000,6,9.944159,66.000000,4,-8.469450,29.000000,2,-10.038076,26.000000,3,-13.570349,19.000000,8,-26.048463,0.000000,,,,,,
800,00006,3,3,0,0,7,6,0.241568,47.000000,2,24.091656,95.000000,8,12.581394,72.000000,3,5.437082,57.000000,4,4.145522,55.000000,6,-14.113769,18.000000,5,-14.708347,17.000000,,,,,,
800,00010,3,3,0,0,7,10,6.651212,60.000000,6,22.906807,93.000000,5,8.554577,64.000000,2,6.213450,59.000000,8,2.302342,51.000000,3,-2.992176,40.000000,4,-9.434342,27.000000,,,,,,
800,00013,3,3,0,0,7,13,-6.703434,33.000000,2,9.305472,65.000000,8,7.918776,62.000000,3,5.381750,57.000000,4,1.574750,50.000000,6,-2.399580,42.000000,5,-10.170522,26.000000,,,,,,
900,00003,2,2,0,0,7,3,-6.888482,32.000000,6,10.539232,68.000000,3,9.068186,65.000000,2,5.781386,58.000000,5,3.564204,54.000000,4,-0.364750,46.000000,8,-6.775726,33.000000,,,,,,
900,00011,2,2,0,0,7,11,6.755960,60.000000,3,2.379552,51.000000,6,-2.184198,42.000000,2,-2.786687,41.000000,5,-5.914727,34.000000,8,-7.145734,32.000000,4,-17.911489,10.000000,,,,,,
1200,00012,2,2,0,0,7,12,-14.515463,17.000000,8,6.373600,59.000000,2,4.434159,55.000000,3,1.635613,50.000000,6,-0.799799,45.000000,4,-6.083264,34.000000,5,-8.019991,30.000000,,,,,,
1200,00013,2,2,0,0,7,13,-15.134083,16.000000,2,10.872978,68.000000,8,8.345080,63.000000,4,3.730539,54.000000,3,1.892105,50.000000,5,-9.508373,27.000000,6,-15.097810,16.000000,,,,,,
1300,00011,1,1,0,0,7,11,9.590959,66.000000,3,7.218861,61.000000,6,-0.700001,45.000000,4,-3.329030,40.000000,2,-4.491772,37.000000,5,-5.870005,35.000000,8,-9.314016,28.000000,,,,,,
1400,00008,1,1,0,0,7,8,-35.748189,0.000000,4,2.552696,52.000000,2,1.292305,49.000000,3,0.802792,48.000000,5,-1.254938,44.000000,8,-4.486766,37.000000,6,-10.335973,26.000000,,,,,,
1500,00001,3,3,0,0,7,1,-6.773755,33.000000,3,17.063311,81.000000,2,16.771024,80.000000,4,5.302385,57.000000,8,-3.571797,39.000000,6,-19.707438,7.000000,5,-19.928048,6.000000,,,,,,
1500,00005,3,3,0,0,7,5,-2.699245,41.000000,5,28.596071,104.000000,2,-7.350665,32.000000,4,-12.049883,22.000000,8,-20.543279,5.000000,6,-22.360116,1.000000,3,-26.267265,0.000000,,,,,,
1500,00014,3,3,0,0,7,14,-1.172305,44.000000,5,19.587821,86.000000,6,2.356868,51.000000,2,-3.684856,39.000000,3,-9.512590,27.000000,4,-21.790423,2.000000,8,-33.721801,0.000000,,,,,,
1800,00008,1,1,0,0,7,8,-34.457527,0.000000,4,6.706340,60.000000,5,5.665012,58.000000,2,4.709087,56.000000,8,-0.668178,45.000000,3,-2.412715,42.000000,6,-9.674932,27.000000,,,,,,
1900,00007,3,3,0,0,7,7,-12.996771,20.000000,6,10.100099,67.000000,2,8.947957,64.000000,5,3.172047,53.000000,4,-14.424361,17.000000,8,-15.836352,14.000000,3,-19.440753,7.000000,,,,,,
1900,00006,3,3,0,0,7,6,3.809718,54.000000,2,23.988361,95.000000,8,13.302528,73.000000,4,5.006366,56.000000,3,4.752434,56.000000,6,-11.137345,24.000000,5,-12.067348,22.000000,,,,,,
