timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00009,1,0,0,0,8,9,27.173939,101.000000,2,3.987299,54.000000,7,3.690459,54.000000,3,3.227027,53.000000,4,-5.053246,36.000000,5,-5.902389,34.000000,6,-6.250458,34.000000,,,,,,
300,00009,1,1,0,0,8,9,22.803391,92.000000,3,11.687582,70.000000,2,5.570240,58.000000,7,-3.031175,40.000000,6,-5.295628,36.000000,5,-8.279763,30.000000,4,-8.964583,28.000000,,,,,,
400,00003,1,1,0,0,8,3,-10.596223,25.000000,6,12.646270,72.000000,3,8.177082,63.000000,2,5.577799,58.000000,5,2.272170,51.000000,4,1.347449,49.000000,7,-5.236296,36.000000,,,,,,
500,00006,2,2,0,0,8,6,11.130531,69.000000,2,28.517940,104.000000,4,4.088961,55.000000,3,3.142926,53.000000,7,2.953531,52.000000,6,-10.874312,24.000000,5,-17.669051,11.000000,,,,,,
500,00007,2,2,0,0,8,7,-21.532772,3.000000,5,15.399141,77.000000,6,8.772189,64.000000,2,1.344098,49.000000,4,-3.939687,38.000000,7,-4.121664,38.000000,3,-14.187932,18.000000,,,,,,
600,00007,3,3,0,0,8,7,-22.748694,1.000000,5,19.303621,85.000000,2,17.008682,81.000000,6,9.188983,65.000000,7,-1.290661,44.000000,4,-3.843087,39.000000,3,-14.867850,16.000000,,,,,,
600,00002,3,3,0,0,8,2,17.414370,81.000000,3,12.820287,72.000000,2,12.473998,72.000000,7,-2.994800,40.000000,5,-3.898091,39.000000,6,-12.594963,21.000000,4,-15.696226,15.000000,,,,,,
600,00005,3,3,0,0,8,5,-18.949718,8.000000,5,40.607865,127.000000,2,-6.991612,32.000000,7,-10.740534,25.000000,4,-12.957927,20.000000,6,-19.161054,8.000000,3,-29.575174,0.000000,,,,,,
700,00002,5,5,0,0,8,2,19.211958,85.000000,3,11.710164,70.000000,2,5.010124,56.000000,7,-3.161368,40.000000,5,-4.037196,38.000000,6,-14.580402,17.000000,4,-15.156071,16.000000,,,,,,
700,00001,5,5,0,0,8,1,-7.455190,31.000000,3,22.087320,91.000000,2,7.913978,62.000000,4,0.444081,47.000000,7,-10.179312,26.000000,5,-19.236494,8.000000,6,-20.615232,5.000000,,,,,,
