timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00009,2,1,0,0,5,9,10.361833,67.000000,6,9.061989,65.000000,2,4.387282,55.000000,4,-7.517618,31.000000,7,-14.545731,17.000000,8,-20.556596,5.000000,3,-29.158715,0.000000,,,,,,
100,00016,2,1,0,0,5,16,28.360737,104.000000,6,3.120462,53.000000,2,0.220984,47.000000,4,-6.149153,34.000000,8,-6.213397,34.000000,3,-8.813178,29.000000,7,-16.941552,12.000000,,,,,,
400,00009,4,2,0,0,5,9,17.579445,82.000000,2,5.567237,58.000000,6,3.030239,52.000000,4,1.966359,50.000000,7,-3.596141,39.000000,8,-8.349985,30.000000,3,-10.375660,25.000000,,,,,,
400,00016,4,2,0,0,5,16,30.803726,108.000000,6,15.485982,78.000000,2,6.065252,59.000000,7,-1.868465,43.000000,8,-2.895618,41.000000,3,-8.603936,29.000000,4,-9.774222,27.000000,,,,,,
400,00017,4,2,0,0,5,17,4.364163,55.000000,3,18.231356,83.000000,2,8.365177,63.000000,8,5.968874,58.000000,4,-2.338108,42.000000,6,-18.821716,8.000000,7,-22.105550,2.000000,,,,,,
400,00019,4,2,0,0,5,19,-4.333907,38.000000,8,22.151207,91.000000,2,7.225591,61.000000,3,1.163447,49.000000,7,-12.066398,22.000000,6,-12.155944,22.000000,4,-12.297758,22.000000,,,,,,
500,00009,4,4,0,0,5,9,34.080917,115.000000,4,7.853230,62.000000,6,0.514642,47.000000,3,-6.533332,33.000000,7,-6.810508,33.000000,8,-9.462798,27.000000,2,-11.730794,23.000000,,,,,,
500,00016,4,4,0,0,5,16,32.396376,112.000000,2,13.886762,74.000000,6,11.622295,70.000000,7,-3.573530,39.000000,4,-3.761519,39.000000,3,-7.287587,32.000000,8,-7.403589,31.000000,,,,,,
500,00017,4,4,0,0,5,17,6.234137,59.000000,2,18.976551,85.000000,3,18.669480,84.000000,8,6.258992,59.000000,4,-7.780317,31.000000,7,-23.380061,0.000000,6,-31.265592,0.000000,,,,,,
500,00019,4,4,0,0,5,19,1.006227,48.000000,8,26.593188,100.000000,2,6.221481,59.000000,3,4.074712,55.000000,7,-12.944203,20.000000,4,-15.546751,15.000000,6,-16.298453,14.000000,,,,,,
800,00009,3,1,0,0,5,9,28.337997,103.000000,6,6.110961,59.000000,2,-0.384364,46.000000,4,-1.120123,44.000000,8,-3.856573,39.000000,3,-13.677315,19.000000,7,-16.057879,14.000000,,,,,,
800,00021,3,1,0,0,5,21,4.291983,55.000000,8,13.814833,74.000000,2,7.134577,61.000000,3,2.935938,52.000000,4,2.243598,51.000000,7,-6.553164,33.000000,6,-14.130960,18.000000,,,,,,
800,00016,3,1,0,0,5,16,28.423165,104.000000,2,7.591890,62.000000,6,-0.247157,46.000000,4,-4.593986,37.000000,7,-5.426227,35.000000,3,-16.016300,14.000000,8,-20.630067,5.000000,,,,,,
900,00009,3,3,0,0,5,9,31.624810,110.000000,4,7.380115,61.000000,6,5.390813,57.000000,2,2.151799,51.000000,3,0.032153,46.000000,8,-13.739951,19.000000,7,-15.127010,16.000000,,,,,,
900,00021,3,3,0,0,5,21,5.560851,58.000000,8,13.976235,75.000000,2,13.501315,74.000000,3,0.721926,48.000000,4,-3.646189,39.000000,6,-6.440258,33.000000,7,-9.965777,26.000000,,,,,,
900,00016,3,3,0,0,5,16,14.842524,76.000000,2,10.907691,68.000000,6,5.639669,58.000000,4,-2.342119,42.000000,7,-8.948735,28.000000,8,-14.862901,16.000000,3,-15.585125,15.000000,,,,,,
1000,00009,6,3,0,0,5,9,24.179255,95.000000,6,14.571061,76.000000,4,6.318977,59.000000,2,2.189466,51.000000,7,-3.357529,40.000000,3,-10.535856,25.000000,8,-10.763492,25.000000,,,,,,
1000,00021,6,3,0,0,5,21,-7.698190,31.000000,2,18.676953,84.000000,8,12.197592,71.000000,3,1.003147,48.000000,4,-6.404015,33.000000,7,-7.473928,31.000000,6,-9.553738,27.000000,,,,,,
1000,00016,6,3,0,0,5,16,7.841856,62.000000,2,-0.302538,46.000000,6,-2.753993,41.000000,4,-2.944443,40.000000,7,-8.323202,30.000000,8,-11.889609,22.000000,3,-17.137170,12.000000,,,,,,
1000,00008,6,3,0,0,5,8,7.224937,61.000000,4,-0.032732,46.000000,7,-1.233437,44.000000,2,-5.085255,36.000000,3,-6.234033,34.000000,8,-19.415074,7.000000,6,-27.590962,0.000000,,,,,,
1000,00012,6,3,0,0,5,12,-1.749334,43.000000,6,34.262172,115.000000,4,3.416312,53.000000,8,3.032921,52.000000,7,-0.411827,46.000000,3,-17.322761,11.000000,2,-18.626699,9.000000,,,,,,
1000,00020,6,3,0,0,5,20,-3.993540,38.000000,3,8.784852,64.000000,4,1.793378,50.000000,7,-1.752173,43.000000,2,-9.811950,27.000000,8,-14.842922,16.000000,6,-15.922482,14.000000,,,,,,
1100,00009,4,3,0,0,5,9,14.929645,76.000000,4,10.540366,68.000000,6,6.310143,59.000000,2,0.691472,48.000000,3,-9.194994,28.000000,7,-13.845665,18.000000,8,-14.287918,18.000000,,,,,,
1100,00016,4,3,0,0,5,16,20.695442,88.000000,6,5.941229,58.000000,4,3.466230,53.000000,2,-0.892736,45.000000,8,-6.171435,34.000000,7,-12.827660,21.000000,3,-16.944299,12.000000,,,,,,
1100,00008,4,3,0,0,5,8,-1.604834,43.000000,4,8.119396,63.000000,2,-3.024542,40.000000,3,-8.622221,29.000000,7,-8.999351,28.000000,6,-19.727442,7.000000,8,-23.709723,0.000000,,,,,,
1100,00012,4,3,0,0,5,12,1.105280,49.000000,6,34.226005,115.000000,2,-2.047445,42.000000,4,-5.263473,36.000000,7,-5.551283,35.000000,8,-13.184767,20.000000,3,-20.637177,5.000000,,,,,,
1200,00009,9,10,0,0,5,9,20.649944,88.000000,4,7.597110,62.000000,2,0.666670,48.000000,7,-1.319193,44.000000,8,-7.098957,32.000000,6,-11.873180,22.000000,3,-14.575788,17.000000,,,,,,
1200,00016,9,10,0,0,5,16,18.454864,84.000000,2,6.857098,60.000000,4,2.473518,51.000000,6,0.590816,48.000000,3,-13.584545,19.000000,8,-16.993483,12.000000,7,-24.283905,0.000000,,,,,,
1200,00001,9,10,0,0,5,1,-14.286561,18.000000,8,13.982318,75.000000,2,7.573201,62.000000,3,1.432869,49.000000,7,0.398003,47.000000,6,-1.745239,43.000000,4,-25.140771,0.000000,,,,,,
1200,00015,9,10,0,0,5,15,-17.991320,10.000000,7,20.431336,88.000000,8,9.214427,65.000000,3,7.743795,62.000000,2,0.474585,47.000000,4,-5.924137,34.000000,6,-16.021602,14.000000,,,,,,
1200,00004,9,10,0,0,5,4,4.464868,55.000000,2,20.632453,88.000000,6,3.844647,54.000000,4,-0.556086,45.000000,7,-3.095276,40.000000,3,-5.991936,34.000000,8,-19.608922,7.000000,,,,,,
