timestamp,cellId,hoAllowed
100,2,0
100,3,1
100,4,1
100,5,0
100,6,1
100,7,0
100,8,0
200,2,0
200,3,1
200,4,1
200,5,0
200,6,1
200,7,0
200,8,0
300,2,0
300,3,0
300,4,1
300,5,1
300,6,0
300,7,1
300,8,0
400,2,0
400,3,0
400,4,1
400,5,1
400,6,0
400,7,1
400,8,0
500,2,1
500,3,1
500,4,0
500,5,0
500,6,1
500,7,0
500,8,0
600,2,1
600,3,1
600,4,0
600,5,0
600,6,1
600,7,0
600,8,0
700,2,1
700,3,0
700,4,1
700,5,1
700,6,0
700,7,0
700,8,0
800,2,1
800,3,0
800,4,1
800,5,1
800,6,0
800,7,0
800,8,0
900,2,1
900,3,0
900,4,0
900,5,1
900,6,0
900,7,1
900,8,0
1000,2,1
1000,3,0
1000,4,0
1000,5,1
1000,6,0
1000,7,1
1000,8,0
1100,2,0
1100,3,0
1100,4,1
1100,5,1
1100,6,0
1100,7,0
1100,8,0
1200,2,0
1200,3,0
1200,4,1
1200,5,1
1200,6,0
1200,7,0
1200,8,0
1300,2,0
1300,3,1
1300,4,0
1300,5,1
1300,6,1
1300,7,0
1300,8,0
1400,2,0
1400,3,1
1400,4,0
1400,5,1
1400,6,1
1400,7,0
1400,8,0
1500,2,0
1500,3,0
1500,4,1
1500,5,0
1500,6,0
1500,7,1
1500,8,1
1600,2,0
1600,3,0
1600,4,1
1600,5,0
1600,6,0
1600,7,1
1600,8,1
1700,2,0
1700,3,0
1700,4,1
1700,5,0
1700,6,1
1700,7,1
1700,8,0
1800,2,0
1800,3,0
1800,4,1
1800,5,0
1800,6,1
1800,7,1
1800,8,0
1900,2,1
1900,3,0
1900,4,0
1900,5,0
1900,6,1
1900,7,0
1900,8,1
2000,2,1
2000,3,0
2000,4,0
2000,5,0
2000,6,1
2000,7,0
2000,8,1
2100,2,0
2100,3,0
2100,4,1
2100,5,1
2100,6,0
2100,7,1
2100,8,0
2200,2,0
2200,3,0
2200,4,1
2200,5,1
2200,6,0
2200,7,1
2200,8,0
2300,2,0
2300,3,1
2300,4,1
2300,5,0
2300,6,0
2300,7,0
2300,8,0
2400,2,0
2400,3,1
2400,4,1
2400,5,0
2400,6,0
2400,7,0
2400,8,0
2500,2,1
2500,3,0
2500,4,1
2500,5,0
2500,6,1
2500,7,0
2500,8,0
2600,2,1
2600,3,0
2600,4,1
2600,5,0
2600,6,1
2600,7,0
2600,8,0
2700,2,0
2700,3,0
2700,4,0
2700,5,0
2700,6,1
2700,7,1
2700,8,0
2800,2,0
2800,3,0
2800,4,0
2800,5,0
2800,6,1
2800,7,1
2800,8,0
2900,2,0
2900,3,1
2900,4,0
2900,5,0
2900,6,0
2900,7,0
2900,8,0
3000,2,0
3000,3,1
3000,4,0
3000,5,0
3000,6,0
3000,7,0
3000,8,0
3100,2,0
3100,3,0
3100,4,0
3100,5,1
3100,6,0
3100,7,1
3100,8,0
3200,2,0
3200,3,0
3200,4,0
3200,5,1
3200,6,0
3200,7,1
3200,8,0
3300,2,1
3300,3,0
3300,4,0
3300,5,0
3300,6,1
3300,7,0
3300,8,1
3400,2,1
3400,3,0
3400,4,0
3400,5,0
3400,6,1
3400,7,0
3400,8,1
3500,2,0
3500,3,1
3500,4,0
3500,5,0
3500,6,0
3500,7,1
3500,8,0
3600,2,0
3600,3,1
3600,4,0
3600,5,0
3600,6,0
3600,7,1
3600,8,0
3700,2,1
3700,3,0
3700,4,0
3700,5,0
3700,6,0
3700,7,0
3700,8,0
3800,2,1
3800,3,0
3800,4,0
3800,5,0
3800,6,0
3800,7,0
3800,8,0
3900,2,1
3900,3,0
3900,4,1
3900,5,0
3900,6,1
3900,7,0
3900,8,0
4000,2,1
4000,3,0
4000,4,1
4000,5,0
4000,6,1
4000,7,0
4000,8,0
4100,2,0
4100,3,0
4100,4,0
4100,5,0
4100,6,0
4100,7,1
4100,8,0
4200,2,0
4200,3,0
4200,4,0
4200,5,0
4200,6,0
4200,7,1
4200,8,0
4300,2,0
4300,3,0
4300,4,0
4300,5,0
4300,6,0
4300,7,1
4300,8,0
4400,2,0
4400,3,0
4400,4,0
4400,5,0
4400,6,0
4400,7,1
4400,8,0
4500,2,0
4500,3,0
4500,4,0
4500,5,1
4500,6,0
4500,7,0
4500,8,0
4600,2,0
4600,3,0
4600,4,0
4600,5,1
4600,6,0
4600,7,0
4600,8,0
4700,2,0
4700,3,1
4700,4,0
4700,5,0
4700,6,0
4700,7,1
4700,8,1
4800,2,0
4800,3,1
4800,4,0
4800,5,0
4800,6,0
4800,7,1
4800,8,1
4900,2,0
4900,3,0
4900,4,0
4900,5,1
4900,6,0
4900,7,0
4900,8,0
