timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
100,00017,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
100,00020,111,3,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
200,00017,111,3,139,139,1,58,0,621,464,451,163,7,82,157,155869,306,145,137,33,0,0,0,1,286,215,119,0,0,148532,6,354,267,184,163,7,87,126677,64.188214,54,130,137,33,0,0,0,0,41,194,119,0,0,44733,4984.029191,11210.000000
200,00020,111,3,139,139,1,58,0,621,464,451,163,7,82,157,155869,306,145,137,33,0,0,0,1,286,215,119,0,0,148532,6,3,3,3,0,0,0,41,0.124107,3,0,0,0,0,0,0,0,3,0,0,0,0,0,181.333394,0.000000
200,00018,111,3,139,139,1,58,0,621,464,451,163,7,82,157,155869,306,145,137,33,0,0,0,1,286,215,119,0,0,148532,6,5,3,5,0,0,2,63,0.086550,5,0,0,0,0,0,0,1,4,0,0,0,0,0,192.000064,0.000000
200,00006,111,3,139,139,1,58,0,621,464,451,163,7,82,157,155869,306,145,137,33,0,0,0,1,286,215,119,0,0,148532,6,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
200,00021,111,3,139,139,1,58,0,621,464,451,163,7,82,157,155869,306,145,137,33,0,0,0,1,286,215,119,0,0,148532,6,259,191,259,0,0,68,29088,18.076677,244,15,0,0,0,0,0,0,238,21,0,0,0,103799,4335.118694,9530.000000
200,00019,111,3,139,139,1,58,0,621,464,451,163,7,82,157,155869,306,145,137,33,0,0,0,1,286,215,119,0,0,148532,6,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.000059,0.000000
300,00017,111,3,139,139,1,63,0,995,747,343,234,418,88,248,380573,246,97,120,189,333,10,0,14,218,139,285,261,78,350652,7,435,332,64,186,185,103,184283,50.412321,15,49,99,141,131,0,0,0,0,94,206,135,0,23371,5985.952279,16030.000000
300,00018,111,3,139,139,1,63,0,995,747,343,234,418,88,248,380573,246,97,120,189,333,10,0,14,218,139,285,261,78,350652,7,8,4,8,0,0,4,99,0.297857,8,0,0,0,0,0,0,4,4,0,0,0,0,54,208.000069,0.000000
300,00006,111,3,139,139,1,63,0,995,747,343,234,418,88,248,380573,246,97,120,189,333,10,0,14,218,139,285,261,78,350652,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
300,00021,111,3,139,139,1,63,0,995,747,343,234,418,88,248,380573,246,97,120,189,333,10,0,14,218,139,285,261,78,350652,7,268,209,268,0,0,59,25306,28.867321,221,47,0,0,0,0,0,10,214,44,0,0,0,215845,4777.745032,11630.000000
300,00019,111,3,139,139,1,63,0,995,747,343,234,418,88,248,380573,246,97,120,189,333,10,0,14,218,139,285,261,78,350652,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.000059,0.000000
300,00005,111,3,139,139,1,63,0,995,747,343,234,418,88,248,380573,246,97,120,189,333,10,0,14,218,139,285,261,78,350652,7,284,202,3,48,233,82,170885,10.134901,2,1,21,48,202,10,0,0,0,1,79,126,78,111382,8324.988895,18230.000000
300,00020,111,3,139,139,1,63,0,995,747,343,234,418,88,248,380573,246,97,120,189,333,10,0,14,218,139,285,261,78,350652,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
600,00005,111,3,139,139,1,12,0,769,503,187,17,565,17,266,508433,123,64,13,54,442,73,0,0,63,146,75,253,232,351519,4,355,252,4,0,351,103,308497,8.061025,3,1,0,22,269,60,0,0,0,0,7,139,209,167398,8502.218152,18750.000000
600,00017,111,3,139,139,1,12,0,769,503,187,17,565,17,266,508433,123,64,13,54,442,73,0,0,63,146,75,253,232,351519,4,401,242,180,12,209,159,198444,9.222044,117,63,12,23,173,13,0,0,63,140,61,114,23,184121,6854.077108,10580.000000
600,00020,111,3,139,139,1,12,0,769,503,187,17,565,17,266,508433,123,64,13,54,442,73,0,0,63,146,75,253,232,351519,4,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
600,00018,111,3,139,139,1,12,0,769,503,187,17,565,17,266,508433,123,64,13,54,442,73,0,0,63,146,75,253,232,351519,4,13,9,3,5,5,4,1492,0.111557,3,0,1,9,0,0,0,0,0,6,7,0,0,0,404.095334,70.000000
700,00005,111,3,139,139,1,82,0,840,609,65,66,709,115,231,661691,28,37,41,72,517,145,0,4,16,23,119,424,254,185848,7,399,303,0,22,377,96,325529,55.401429,0,0,11,29,343,16,0,0,0,0,43,275,81,76873,8762.588032,18130.000000
700,00017,111,3,139,139,1,82,0,840,609,65,66,709,115,231,661691,28,37,41,72,517,145,0,4,16,23,119,424,254,185848,7,425,295,49,44,332,130,335389,59.397679,12,37,30,43,174,129,0,0,4,23,76,149,173,108975,7297.674330,11310.000000
700,00020,111,3,139,139,1,82,0,840,609,65,66,709,115,231,661691,28,37,41,72,517,145,0,4,16,23,119,424,254,185848,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
700,00018,111,3,139,139,1,82,0,840,609,65,66,709,115,231,661691,28,37,41,72,517,145,0,4,16,23,119,424,254,185848,7,16,11,16,0,0,5,773,1.414821,16,0,0,0,0,0,0,4,12,0,0,0,0,0,396.587639,20.000000
700,00014,111,3,139,139,1,82,0,840,609,65,66,709,115,231,661691,28,37,41,72,517,145,0,4,16,23,119,424,254,185848,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
700,00019,111,3,139,139,1,82,0,840,609,65,66,709,115,231,661691,28,37,41,72,517,145,0,4,16,23,119,424,254,185848,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.000059,0.000000
700,00015,111,3,139,139,1,82,0,840,609,65,66,709,115,231,661691,28,37,41,72,517,145,0,4,16,23,119,424,254,185848,7,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1400,00005,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,208,141,183,25,0,67,13851,1.015362,134,49,25,0,0,0,0,27,113,68,0,0,0,572151,7595.119239,10270.000000
1400,00013,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,374,316,264,110,0,58,49365,2.133500,56,208,110,0,0,0,0,0,31,302,41,0,0,355505,9276.310360,13510.000000
1400,00015,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1400,00014,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1400,00021,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,172,124,172,0,0,48,9001,0.758420,140,32,0,0,0,0,0,11,114,47,0,0,0,113623,6704.182466,11000.000000
1400,00017,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,427,301,3,3,421,126,247492,2.555238,3,0,0,11,289,124,0,0,0,0,27,168,232,1054612,6275.049948,14980.000000
1400,00019,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,13,8,8,5,0,5,813,0.038984,8,0,5,0,0,0,0,0,11,2,0,0,0,0,406.887517,30.000000
1400,00020,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1400,00001,111,3,139,139,1,3,0,1206,902,642,143,421,5,304,320986,353,289,140,11,289,124,0,38,281,419,68,168,232,2100651,9,12,12,12,0,0,0,464,0.046072,12,0,0,0,0,0,0,0,12,0,0,0,0,4760,2209.441564,620.000000
1500,00005,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,210,153,210,0,0,57,9687,10.102321,132,78,0,0,0,0,0,16,88,106,0,0,0,702591,7548.327673,11730.000000
1500,00013,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,456,360,404,52,0,96,30489,25.566071,218,186,52,0,0,0,0,0,174,282,0,0,0,464872,8570.910177,12260.000000
1500,00015,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1500,00014,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1500,00021,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,408,394,8,0,400,14,157409,22.016607,1,7,0,0,245,155,0,0,2,0,0,406,0,96291,6314.854916,22530.000000
1500,00017,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,468,356,0,0,468,112,203149,26.087321,0,0,0,0,116,352,0,0,0,0,0,19,449,1042905,6286.380306,12780.000000
1500,00019,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,24,16,24,0,0,8,674,1.042500,24,0,0,0,0,0,0,4,20,0,0,0,0,0,366.372668,20.000000
1500,00020,111,3,139,139,1,72,0,1930,1551,927,135,868,101,379,428086,505,422,135,0,361,507,0,30,390,620,16,425,449,2428889,12,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
