% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	0	0	1.47838e-13	311.671	0
0.000214285	1	0	0	3.89113e-13	820.322	0
0.000214285	1	0	0	1.70899e-13	360.287	0
0.000214285	1	0	0	9.52488e-13	2008.02	0
0.000214285	1	0	0	1.42497e-13	300.41	0
0.000214285	1	0	0	1.61758e-11	34101.5	0
0.000214285	1	0	0	5.05113e-13	1064.87	0
0.000214285	1	0	0	1.87108e-13	394.458	0
0.000214285	1	0	0	1.67161e-13	352.407	0
0.000214285	1	0	0	4.90867e-13	1034.84	0
0.000214285	1	0	0	1.42563e-13	300.549	0
0.000214285	1	0	0	1.18798e-13	250.447	0
0.000214285	1	0	0	2.09632e-09	4.41943e+06	0
0.000214285	1	0	0	2.91259e-13	614.028	0
0.000214285	1	0	0	1.18829e-13	250.513	0
0.000214285	1	0	0	1.24399e-13	262.255	0
0.000214285	1	0	0	1.9856e-13	418.601	0
0.000214285	1	0	0	1.67339e-13	352.782	0
0.000214285	1	0	0	1.41541e-13	298.394	0
0.000214285	1	0	0	1.90092e-13	400.749	0
0.000214285	1	0	0	1.86281e-13	392.715	0
0.00121429	1	0	0	1.47844e-13	311.683	0
0.00121429	1	0	0	3.89104e-13	820.304	0
0.00121429	1	0	0	1.709e-13	360.288	0
0.00121429	1	0	0	9.52607e-13	2008.27	0
0.00121429	1	0	0	1.42509e-13	300.435	0
0.00121429	1	0	0	1.61683e-11	34085.8	0
0.00121429	1	0	0	5.05204e-13	1065.06	0
0.00121429	1	0	0	1.87116e-13	394.475	0
0.00121429	1	0	0	1.67179e-13	352.444	0
0.00121429	1	0	0	4.90932e-13	1034.97	0
0.00121429	1	0	0	1.42548e-13	300.517	0
0.00121429	1	0	0	1.18789e-13	250.43	0
0.00121429	1	0	0	2.11991e-09	4.46915e+06	0
0.00121429	1	0	0	2.91302e-13	614.118	0
0.00121429	1	0	0	1.18829e-13	250.513	0
0.00121429	1	0	0	1.24396e-13	262.249	0
0.00121429	1	0	0	1.98542e-13	418.563	0
0.00121429	1	0	0	1.67342e-13	352.788	0
0.00121429	1	0	0	1.41551e-13	298.415	0
0.00121429	1	0	0	1.90098e-13	400.763	0
0.00121429	1	0	0	1.86267e-13	392.685	0
0.00221428	1	0	0	1.4785e-13	311.696	0
0.00221428	1	0	0	3.89096e-13	820.286	0
0.00221428	1	0	0	1.709e-13	360.289	0
0.00221428	1	0	0	9.52726e-13	2008.52	0
0.00221428	1	0	0	1.4252e-13	300.46	0
0.00221428	1	0	0	1.61608e-11	34070	0
0.00221428	1	0	0	5.05295e-13	1065.26	0
0.00221428	1	0	0	1.87124e-13	394.492	0
0.00221428	1	0	0	1.67196e-13	352.481	0
0.00221428	1	0	0	4.90996e-13	1035.11	0
0.00221428	1	0	0	1.42532e-13	300.485	0
0.00221428	1	0	0	1.18781e-13	250.413	0
0.00221428	1	0	0	2.14386e-09	4.51966e+06	0
0.00221428	1	0	0	2.91345e-13	614.209	0
0.00221428	1	0	0	1.18829e-13	250.513	0
0.00221428	1	0	0	1.24393e-13	262.243	0
0.00221428	1	0	0	1.98524e-13	418.526	0
0.00221428	1	0	0	1.67345e-13	352.794	0
0.00221428	1	0	0	1.41561e-13	298.437	0
0.00221428	1	0	0	1.90105e-13	400.776	0
0.00221428	1	0	0	1.86252e-13	392.654	0
0.00321428	1	0	0	1.47856e-13	311.708	0
0.00321428	1	0	0	3.89087e-13	820.268	0
0.00321428	1	0	0	1.70901e-13	360.29	0
0.00321428	1	0	0	9.52846e-13	2008.78	0
0.00321428	1	0	0	1.42532e-13	300.484	0
0.00321428	1	0	0	1.61534e-11	34054.3	0
0.00321428	1	0	0	5.05386e-13	1065.45	0
0.00321428	1	0	0	1.87132e-13	394.509	0
0.00321428	1	0	0	1.67214e-13	352.518	0
0.00321428	1	0	0	4.91061e-13	1035.25	0
0.00321428	1	0	0	1.42517e-13	300.453	0
0.00321428	1	0	0	1.18773e-13	250.395	0
0.00321428	1	0	0	2.1682e-09	4.57096e+06	0
0.00321428	1	0	0	2.91388e-13	614.3	0
0.00321428	1	0	0	1.18829e-13	250.513	0
0.00321428	1	0	0	1.2439e-13	262.237	0
0.00321428	1	0	0	1.98506e-13	418.488	0
0.00321428	1	0	0	1.67348e-13	352.8	0
0.00321428	1	0	0	1.41571e-13	298.459	0
0.00321428	1	0	0	1.90111e-13	400.789	0
0.00321428	1	0	0	1.86238e-13	392.624	0
0.00421428	1	0	0	1.47862e-13	311.721	0
0.00421428	1	0	0	3.89079e-13	820.25	0
0.00421428	1	0	0	1.70901e-13	360.291	0
0.00421428	1	0	0	9.52965e-13	2009.03	0
0.00421428	1	0	0	1.42544e-13	300.509	0
0.00421428	1	0	0	1.61459e-11	34038.5	0
0.00421428	1	0	0	5.05478e-13	1065.64	0
0.00421428	1	0	0	1.8714e-13	394.527	0
0.00421428	1	0	0	1.67231e-13	352.554	0
0.00421428	1	0	0	4.91125e-13	1035.38	0
0.00421428	1	0	0	1.42502e-13	300.421	0
0.00421428	1	0	0	1.18765e-13	250.378	0
0.00421428	1	0	0	2.19292e-09	4.62307e+06	0
0.00421428	1	0	0	2.91431e-13	614.39	0
0.00421428	1	0	0	1.18829e-13	250.513	0
0.00421428	1	0	0	1.24387e-13	262.231	0
0.00421428	1	0	0	1.98489e-13	418.451	0
0.00421428	1	0	0	1.6735e-13	352.806	0
0.00421428	1	0	0	1.41582e-13	298.481	0
0.00421428	1	0	0	1.90117e-13	400.802	0
0.00421428	1	0	0	1.86224e-13	392.594	0
0.00521428	1	0	0	1.47868e-13	311.733	0
0.00521428	1	0	0	3.8907e-13	820.232	0
0.00521428	1	0	0	1.70902e-13	360.292	0
0.00521428	1	0	0	9.53084e-13	2009.28	0
0.00521428	1	0	0	1.42556e-13	300.534	0
0.00521428	1	0	0	1.61384e-11	34022.7	0
0.00521428	1	0	0	5.05569e-13	1065.83	0
0.00521428	1	0	0	1.87148e-13	394.544	0
0.00521428	1	0	0	1.67249e-13	352.591	0
0.00521428	1	0	0	4.9119e-13	1035.52	0
0.00521428	1	0	0	1.42487e-13	300.389	0
0.00521428	1	0	0	1.18757e-13	250.361	0
0.00521428	1	0	0	2.21803e-09	4.67601e+06	0
0.00521428	1	0	0	2.91474e-13	614.481	0
0.00521428	1	0	0	1.18829e-13	250.513	0
0.00521428	1	0	0	1.24384e-13	262.225	0
0.00521428	1	0	0	1.98471e-13	418.414	0
0.00521428	1	0	0	1.67353e-13	352.812	0
0.00521428	1	0	0	1.41592e-13	298.502	0
0.00521428	1	0	0	1.90123e-13	400.815	0
0.00521428	1	0	0	1.86209e-13	392.563	0
0.00621428	1	0	0	1.47874e-13	311.746	0
0.00621428	1	0	0	3.89062e-13	820.214	0
0.00621428	1	0	0	1.70902e-13	360.293	0
0.00621428	1	0	0	9.53203e-13	2009.53	0
0.00621428	1	0	0	1.42568e-13	300.559	0
0.00621428	1	0	0	1.61309e-11	34007	0
0.00621428	1	0	0	5.0566e-13	1066.03	0
0.00621428	1	0	0	1.87156e-13	394.561	0
0.00621428	1	0	0	1.67266e-13	352.628	0
0.00621428	1	0	0	4.91254e-13	1035.66	0
0.00621428	1	0	0	1.42472e-13	300.357	0
0.00621428	1	0	0	1.18748e-13	250.344	0
0.00621428	1	0	0	2.24354e-09	4.72979e+06	0
0.00621428	1	0	0	2.91517e-13	614.571	0
0.00621428	1	0	0	1.18829e-13	250.513	0
0.00621428	1	0	0	1.24381e-13	262.219	0
0.00621428	1	0	0	1.98453e-13	418.376	0
0.00621428	1	0	0	1.67356e-13	352.818	0
0.00621428	1	0	0	1.41602e-13	298.524	0
0.00621428	1	0	0	1.9013e-13	400.828	0
0.00621428	1	0	0	1.86195e-13	392.533	0
0.00721428	1	0	0	1.4788e-13	311.758	0
0.00721428	1	0	0	3.89053e-13	820.196	0
0.00721428	1	0	0	1.70902e-13	360.294	0
0.00721428	1	0	0	9.53323e-13	2009.78	0
0.00721428	1	0	0	1.42579e-13	300.584	0
0.00721428	1	0	0	1.61235e-11	33991.2	0
0.00721428	1	0	0	5.05752e-13	1066.22	0
0.00721428	1	0	0	1.87165e-13	394.578	0
0.00721428	1	0	0	1.67284e-13	352.665	0
0.00721428	1	0	0	4.91319e-13	1035.79	0
0.00721428	1	0	0	1.42457e-13	300.326	0
0.00721428	1	0	0	1.1874e-13	250.326	0
0.00721428	1	0	0	2.26946e-09	4.78443e+06	0
0.00721428	1	0	0	2.9156e-13	614.662	0
0.00721428	1	0	0	1.18829e-13	250.513	0
0.00721428	1	0	0	1.24378e-13	262.213	0
0.00721428	1	0	0	1.98435e-13	418.339	0
0.00721428	1	0	0	1.67359e-13	352.824	0
0.00721428	1	0	0	1.41613e-13	298.546	0
0.00721428	1	0	0	1.90136e-13	400.841	0
0.00721428	1	0	0	1.8618e-13	392.503	0
0.00821428	1	0	0	1.47886e-13	311.771	0
0.00821428	1	0	0	3.89045e-13	820.178	0
0.00821428	1	0	0	1.70903e-13	360.295	0
0.00821428	1	0	0	9.53442e-13	2010.03	0
0.00821428	1	0	0	1.42591e-13	300.609	0
0.00821428	1	0	0	1.6116e-11	33975.4	0
0.00821428	1	0	0	5.05843e-13	1066.41	0
0.00821428	1	0	0	1.87173e-13	394.595	0
0.00821428	1	0	0	1.67301e-13	352.702	0
0.00821428	1	0	0	4.91384e-13	1035.93	0
0.00821428	1	0	0	1.42442e-13	300.294	0
0.00821428	1	0	0	1.18732e-13	250.309	0
0.00821428	1	0	0	2.29579e-09	4.83995e+06	0
0.00821428	1	0	0	2.91603e-13	614.753	0
0.00821428	1	0	0	1.18829e-13	250.513	0
0.00821428	1	0	0	1.24376e-13	262.207	0
0.00821428	1	0	0	1.98418e-13	418.301	0
0.00821428	1	0	0	1.67362e-13	352.83	0
0.00821428	1	0	0	1.41623e-13	298.568	0
0.00821428	1	0	0	1.90142e-13	400.854	0
0.00821428	1	0	0	1.86166e-13	392.472	0
0.00921428	1	0	0	1.47892e-13	311.783	0
0.00921428	1	0	0	3.89036e-13	820.16	0
0.00921428	1	0	0	1.70903e-13	360.296	0
0.00921428	1	0	0	9.53561e-13	2010.28	0
0.00921428	1	0	0	1.42603e-13	300.633	0
0.00921428	1	0	0	1.61085e-11	33959.7	0
0.00921428	1	0	0	5.05934e-13	1066.6	0
0.00921428	1	0	0	1.87181e-13	394.612	0
0.00921428	1	0	0	1.67319e-13	352.739	0
0.00921428	1	0	0	4.91448e-13	1036.06	0
0.00921428	1	0	0	1.42427e-13	300.262	0
0.00921428	1	0	0	1.18724e-13	250.292	0
0.00921428	1	0	0	2.32254e-09	4.89635e+06	0
0.00921428	1	0	0	2.91646e-13	614.843	0
0.00921428	1	0	0	1.18829e-13	250.514	0
0.00921428	1	0	0	1.24373e-13	262.201	0
0.00921428	1	0	0	1.984e-13	418.264	0
0.00921428	1	0	0	1.67365e-13	352.836	0
0.00921428	1	0	0	1.41633e-13	298.589	0
0.00921428	1	0	0	1.90148e-13	400.867	0
0.00921428	1	0	0	1.86152e-13	392.442	0
0.0102143	1	0	0	1.47898e-13	311.796	0
0.0102143	1	0	0	3.89028e-13	820.142	0
0.0102143	1	0	0	1.70904e-13	360.297	0
0.0102143	1	0	0	9.5368e-13	2010.53	0
0.0102143	1	0	0	1.42615e-13	300.658	0
0.0102143	1	0	0	1.6101e-11	33943.9	0
0.0102143	1	0	0	5.06026e-13	1066.8	0
0.0102143	1	0	0	1.87189e-13	394.629	0
0.0102143	1	0	0	1.67336e-13	352.776	0
0.0102143	1	0	0	4.91513e-13	1036.2	0
0.0102143	1	0	0	1.42412e-13	300.23	0
0.0102143	1	0	0	1.18716e-13	250.274	0
0.0102143	1	0	0	2.34973e-09	4.95367e+06	0
0.0102143	1	0	0	2.91689e-13	614.934	0
0.0102143	1	0	0	1.18829e-13	250.514	0
0.0102143	1	0	0	1.2437e-13	262.195	0
0.0102143	1	0	0	1.98382e-13	418.226	0
0.0102143	1	0	0	1.67367e-13	352.842	0
0.0102143	1	0	0	1.41644e-13	298.611	0
0.0102143	1	0	0	1.90154e-13	400.881	0
0.0102143	1	0	0	1.86137e-13	392.412	0
0.0112143	1	0	0	1.47904e-13	311.808	0
0.0112143	1	0	0	3.89019e-13	820.124	0
0.0112143	1	0	0	1.70904e-13	360.298	0
0.0112143	1	0	0	9.53799e-13	2010.79	0
0.0112143	1	0	0	1.42626e-13	300.683	0
0.0112143	1	0	0	1.60935e-11	33928.1	0
0.0112143	1	0	0	5.06117e-13	1066.99	0
0.0112143	1	0	0	1.87197e-13	394.646	0
0.0112143	1	0	0	1.67354e-13	352.812	0
0.0112143	1	0	0	4.91577e-13	1036.34	0
0.0112143	1	0	0	1.42397e-13	300.198	0
0.0112143	1	0	0	1.18707e-13	250.257	0
0.0112143	1	0	0	2.37736e-09	5.01191e+06	0
0.0112143	1	0	0	2.91732e-13	615.025	0
0.0112143	1	0	0	1.18829e-13	250.514	0
0.0112143	1	0	0	1.24367e-13	262.188	0
0.0112143	1	0	0	1.98364e-13	418.189	0
0.0112143	1	0	0	1.6737e-13	352.848	0
0.0112143	1	0	0	1.41654e-13	298.633	0
0.0112143	1	0	0	1.90161e-13	400.894	0
0.0112143	1	0	0	1.86123e-13	392.381	0
0.0122143	1	0	0	1.4791e-13	311.821	0
0.0122143	1	0	0	3.89011e-13	820.106	0
0.0122143	1	0	0	1.70905e-13	360.299	0
0.0122143	1	0	0	9.53918e-13	2011.04	0
0.0122143	1	0	0	1.42638e-13	300.708	0
0.0122143	1	0	0	1.6086e-11	33912.3	0
0.0122143	1	0	0	5.06209e-13	1067.18	0
0.0122143	1	0	0	1.87205e-13	394.663	0
0.0122143	1	0	0	1.67371e-13	352.849	0
0.0122143	1	0	0	4.91642e-13	1036.47	0
0.0122143	1	0	0	1.42381e-13	300.166	0
0.0122143	1	0	0	1.18699e-13	250.24	0
0.0122143	1	0	0	2.40543e-09	5.07109e+06	0
0.0122143	1	0	0	2.91775e-13	615.115	0
0.0122143	1	0	0	1.18829e-13	250.514	0
0.0122143	1	0	0	1.24364e-13	262.182	0
0.0122143	1	0	0	1.98347e-13	418.152	0
0.0122143	1	0	0	1.67373e-13	352.854	0
0.0122143	1	0	0	1.41664e-13	298.655	0
0.0122143	1	0	0	1.90167e-13	400.907	0
0.0122143	1	0	0	1.86108e-13	392.351	0
0.0132143	1	0	0	1.47916e-13	311.833	0
0.0132143	1	0	0	3.89002e-13	820.088	0
0.0132143	1	0	0	1.70905e-13	360.3	0
0.0132143	1	0	0	9.54037e-13	2011.29	0
0.0132143	1	0	0	1.4265e-13	300.733	0
0.0132143	1	0	0	1.60786e-11	33896.6	0
0.0132143	1	0	0	5.063e-13	1067.37	0
0.0132143	1	0	0	1.87213e-13	394.68	0
0.0132143	1	0	0	1.67389e-13	352.886	0
0.0132143	1	0	0	4.91707e-13	1036.61	0
0.0132143	1	0	0	1.42366e-13	300.135	0
0.0132143	1	0	0	1.18691e-13	250.223	0
0.0132143	1	0	0	2.43396e-09	5.13124e+06	0
0.0132143	1	0	0	2.91818e-13	615.206	0
0.0132143	1	0	0	1.18829e-13	250.514	0
0.0132143	1	0	0	1.24361e-13	262.176	0
0.0132143	1	0	0	1.98329e-13	418.114	0
0.0132143	1	0	0	1.67376e-13	352.86	0
0.0132143	1	0	0	1.41675e-13	298.676	0
0.0132143	1	0	0	1.90173e-13	400.92	0
0.0132143	1	0	0	1.86094e-13	392.321	0
0.0142143	1	0	0	1.47921e-13	311.846	0
0.0142143	1	0	0	3.88993e-13	820.07	0
0.0142143	1	0	0	1.70906e-13	360.301	0
0.0142143	1	0	0	9.54157e-13	2011.54	0
0.0142143	1	0	0	1.42662e-13	300.758	0
0.0142143	1	0	0	1.60711e-11	33880.8	0
0.0142143	1	0	0	5.06392e-13	1067.57	0
0.0142143	1	0	0	1.87221e-13	394.697	0
0.0142143	1	0	0	1.67406e-13	352.923	0
0.0142143	1	0	0	4.91771e-13	1036.74	0
0.0142143	1	0	0	1.42351e-13	300.103	0
0.0142143	1	0	0	1.18683e-13	250.205	0
0.0142143	1	0	0	2.46296e-09	5.19237e+06	0
0.0142143	1	0	0	2.91861e-13	615.297	0
0.0142143	1	0	0	1.18829e-13	250.514	0
0.0142143	1	0	0	1.24358e-13	262.17	0
0.0142143	1	0	0	1.98311e-13	418.077	0
0.0142143	1	0	0	1.67379e-13	352.866	0
0.0142143	1	0	0	1.41685e-13	298.698	0
0.0142143	1	0	0	1.90179e-13	400.933	0
0.0142143	1	0	0	1.8608e-13	392.29	0
0.0152143	1	0	0	1.47927e-13	311.858	0
0.0152143	1	0	0	3.88985e-13	820.052	0
0.0152143	1	0	0	1.70906e-13	360.301	0
0.0152143	1	0	0	9.54276e-13	2011.79	0
0.0152143	1	0	0	1.42674e-13	300.782	0
0.0152143	1	0	0	1.60636e-11	33865	0
0.0152143	1	0	0	5.06483e-13	1067.76	0
0.0152143	1	0	0	1.87229e-13	394.714	0
0.0152143	1	0	0	1.67424e-13	352.96	0
0.0152143	1	0	0	4.91836e-13	1036.88	0
0.0152143	1	0	0	1.42336e-13	300.071	0
0.0152143	1	0	0	1.18675e-13	250.188	0
0.0152143	1	0	0	2.49243e-09	5.2545e+06	0
0.0152143	1	0	0	2.91904e-13	615.388	0
0.0152143	1	0	0	1.18829e-13	250.514	0
0.0152143	1	0	0	1.24355e-13	262.164	0
0.0152143	1	0	0	1.98293e-13	418.039	0
0.0152143	1	0	0	1.67382e-13	352.872	0
0.0152143	1	0	0	1.41695e-13	298.72	0
0.0152143	1	0	0	1.90185e-13	400.946	0
0.0152143	1	0	0	1.86065e-13	392.26	0
0.0162143	1	0	0	1.47933e-13	311.871	0
0.0162143	1	0	0	3.88976e-13	820.034	0
0.0162143	1	0	0	1.70906e-13	360.302	0
0.0162143	1	0	0	9.54395e-13	2012.04	0
0.0162143	1	0	0	1.42685e-13	300.807	0
0.0162143	1	0	0	1.60561e-11	33849.2	0
0.0162143	1	0	0	5.06575e-13	1067.95	0
0.0162143	1	0	0	1.87237e-13	394.731	0
0.0162143	1	0	0	1.67441e-13	352.997	0
0.0162143	1	0	0	4.91901e-13	1037.02	0
0.0162143	1	0	0	1.42321e-13	300.039	0
