Timestamp UNIX Id State
0.1 100 2 1
0.1 100 3 1
0.1 100 4 1
0.1 100 5 1
0.1 100 6 1
0.1 100 7 1
0.1 100 8 1
0.2 200 2 0
0.2 200 3 1
0.2 200 4 1
0.2 200 5 0
0.2 200 6 1
0.2 200 7 0
0.2 200 8 0
0.3 300 2 0
0.3 300 3 1
0.3 300 4 1
0.3 300 5 0
0.3 300 6 1
0.3 300 7 0
0.3 300 8 0
0.4 400 2 0
0.4 400 3 0
0.4 400 4 1
0.4 400 5 1
0.4 400 6 0
0.4 400 7 1
0.4 400 8 0
0.5 500 2 0
0.5 500 3 0
0.5 500 4 1
0.5 500 5 1
0.5 500 6 0
0.5 500 7 1
0.5 500 8 0
0.6 600 2 1
0.6 600 3 1
0.6 600 4 0
0.6 600 5 0
0.6 600 6 1
0.6 600 7 0
0.6 600 8 0
0.7 700 2 1
0.7 700 3 1
0.7 700 4 0
0.7 700 5 0
0.7 700 6 1
0.7 700 7 0
0.7 700 8 0
0.8 800 2 1
0.8 800 3 0
0.8 800 4 1
0.8 800 5 1
0.8 800 6 0
0.8 800 7 0
0.8 800 8 0
0.9 900 2 1
0.9 900 3 0
0.9 900 4 1
0.9 900 5 1
0.9 900 6 0
0.9 900 7 0
0.9 900 8 0
1 1000 2 1
1 1000 3 0
1 1000 4 0
1 1000 5 1
1 1000 6 0
1 1000 7 1
1 1000 8 0
1.1 1100 2 1
1.1 1100 3 0
1.1 1100 4 0
1.1 1100 5 1
1.1 1100 6 0
1.1 1100 7 1
1.1 1100 8 0
1.2 1200 2 0
1.2 1200 3 0
1.2 1200 4 1
1.2 1200 5 1
1.2 1200 6 0
1.2 1200 7 0
1.2 1200 8 0
1.3 1300 2 0
1.3 1300 3 0
1.3 1300 4 1
1.3 1300 5 1
1.3 1300 6 0
1.3 1300 7 0
1.3 1300 8 0
1.4 1400 2 0
1.4 1400 3 1
1.4 1400 4 0
1.4 1400 5 1
1.4 1400 6 1
1.4 1400 7 0
1.4 1400 8 0
1.5 1500 2 0
1.5 1500 3 1
1.5 1500 4 0
1.5 1500 5 1
1.5 1500 6 1
1.5 1500 7 0
1.5 1500 8 0
1.6 1600 2 0
1.6 1600 3 0
1.6 1600 4 1
1.6 1600 5 0
1.6 1600 6 0
1.6 1600 7 1
1.6 1600 8 1
1.7 1700 2 0
1.7 1700 3 0
1.7 1700 4 1
1.7 1700 5 0
1.7 1700 6 0
1.7 1700 7 1
1.7 1700 8 1
1.8 1800 2 0
1.8 1800 3 0
1.8 1800 4 1
1.8 1800 5 0
1.8 1800 6 1
1.8 1800 7 1
1.8 1800 8 0
1.9 1900 2 0
1.9 1900 3 0
1.9 1900 4 1
1.9 1900 5 0
1.9 1900 6 1
1.9 1900 7 1
1.9 1900 8 0
2 2000 2 1
2 2000 3 0
2 2000 4 0
2 2000 5 0
2 2000 6 1
2 2000 7 0
2 2000 8 1
2.1 2100 2 1
2.1 2100 3 0
2.1 2100 4 0
2.1 2100 5 0
2.1 2100 6 1
2.1 2100 7 0
2.1 2100 8 1
2.2 2200 2 0
2.2 2200 3 0
2.2 2200 4 1
2.2 2200 5 1
2.2 2200 6 0
2.2 2200 7 1
2.2 2200 8 0
2.3 2300 2 0
2.3 2300 3 0
2.3 2300 4 1
2.3 2300 5 1
2.3 2300 6 0
2.3 2300 7 1
2.3 2300 8 0
2.4 2400 2 0
2.4 2400 3 1
2.4 2400 4 1
2.4 2400 5 0
2.4 2400 6 0
2.4 2400 7 0
2.4 2400 8 0
2.5 2500 2 0
2.5 2500 3 1
2.5 2500 4 1
2.5 2500 5 0
2.5 2500 6 0
2.5 2500 7 0
2.5 2500 8 0
2.6 2600 2 1
2.6 2600 3 0
2.6 2600 4 1
2.6 2600 5 0
2.6 2600 6 1
2.6 2600 7 0
2.6 2600 8 0
2.7 2700 2 1
2.7 2700 3 0
2.7 2700 4 1
2.7 2700 5 0
2.7 2700 6 1
2.7 2700 7 0
2.7 2700 8 0
2.8 2800 2 0
2.8 2800 3 0
2.8 2800 4 0
2.8 2800 5 0
2.8 2800 6 1
2.8 2800 7 1
2.8 2800 8 0
2.9 2900 2 0
2.9 2900 3 0
2.9 2900 4 0
2.9 2900 5 0
2.9 2900 6 1
2.9 2900 7 1
2.9 2900 8 0
3 3000 2 0
3 3000 3 1
3 3000 4 0
3 3000 5 0
3 3000 6 0
3 3000 7 0
3 3000 8 0
3.1 3100 2 0
3.1 3100 3 1
3.1 3100 4 0
3.1 3100 5 0
3.1 3100 6 0
3.1 3100 7 0
3.1 3100 8 0
3.2 3200 2 0
3.2 3200 3 0
3.2 3200 4 0
3.2 3200 5 1
3.2 3200 6 0
3.2 3200 7 1
3.2 3200 8 0
3.3 3300 2 0
3.3 3300 3 0
3.3 3300 4 0
3.3 3300 5 1
3.3 3300 6 0
3.3 3300 7 1
3.3 3300 8 0
3.4 3400 2 1
3.4 3400 3 0
3.4 3400 4 0
3.4 3400 5 0
3.4 3400 6 1
3.4 3400 7 0
3.4 3400 8 1
3.5 3500 2 1
3.5 3500 3 0
3.5 3500 4 0
3.5 3500 5 0
3.5 3500 6 1
3.5 3500 7 0
3.5 3500 8 1
3.6 3600 2 0
3.6 3600 3 1
3.6 3600 4 0
3.6 3600 5 0
3.6 3600 6 0
3.6 3600 7 1
3.6 3600 8 0
3.7 3700 2 0
3.7 3700 3 1
3.7 3700 4 0
3.7 3700 5 0
3.7 3700 6 0
3.7 3700 7 1
3.7 3700 8 0
3.8 3800 2 1
3.8 3800 3 0
3.8 3800 4 0
3.8 3800 5 0
3.8 3800 6 0
3.8 3800 7 0
3.8 3800 8 0
3.9 3900 2 1
3.9 3900 3 0
3.9 3900 4 0
3.9 3900 5 0
3.9 3900 6 0
3.9 3900 7 0
3.9 3900 8 0
4 4000 2 1
4 4000 3 0
4 4000 4 1
4 4000 5 0
4 4000 6 1
4 4000 7 0
4 4000 8 0
4.1 4100 2 1
4.1 4100 3 0
4.1 4100 4 1
4.1 4100 5 0
4.1 4100 6 1
4.1 4100 7 0
4.1 4100 8 0
4.2 4200 2 0
4.2 4200 3 0
4.2 4200 4 0
4.2 4200 5 0
4.2 4200 6 0
4.2 4200 7 1
4.2 4200 8 0
4.3 4300 2 0
4.3 4300 3 0
4.3 4300 4 0
4.3 4300 5 0
4.3 4300 6 0
4.3 4300 7 1
4.3 4300 8 0
4.4 4400 2 0
4.4 4400 3 0
4.4 4400 4 0
4.4 4400 5 0
4.4 4400 6 0
4.4 4400 7 1
4.4 4400 8 0
4.5 4500 2 0
4.5 4500 3 0
4.5 4500 4 0
4.5 4500 5 0
4.5 4500 6 0
4.5 4500 7 1
4.5 4500 8 0
4.6 4600 2 0
4.6 4600 3 0
4.6 4600 4 0
4.6 4600 5 1
4.6 4600 6 0
4.6 4600 7 0
4.6 4600 8 0
4.7 4700 2 0
4.7 4700 3 0
4.7 4700 4 0
4.7 4700 5 1
4.7 4700 6 0
4.7 4700 7 0
4.7 4700 8 0
4.8 4800 2 0
4.8 4800 3 1
4.8 4800 4 0
4.8 4800 5 0
4.8 4800 6 0
4.8 4800 7 1
4.8 4800 8 1
4.9 4900 2 0
4.9 4900 3 1
4.9 4900 4 0
4.9 4900 5 0
4.9 4900 6 0
4.9 4900 7 1
4.9 4900 8 1
5 5000 2 0
5 5000 3 0
5 5000 4 0
5 5000 5 1
5 5000 6 0
5 5000 7 0
5 5000 8 0
