% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
3.208	1	0	8	227.583	0
3.209	1	0	9	214.935	0
3.21	1	0	10	1366.27	0
3.211	1	0	11	300.458	0
3.212	1	0	12	182.363	0
3.213	1	0	13	189.177	0
3.214	1	0	14	169.074	0
3.215	1	0	15	184.379	0
3.216	1	0	16	659.734	0
3.217	1	0	17	1121.61	0
3.218	1	0	18	411.794	0
3.219	1	0	19	264.011	0
3.22	1	0	20	5321.83	0
3.221	1	0	21	465.683	0
3.521	1	0	1	223.117	0
3.522	1	0	2	178.485	0
3.523	1	0	3	161.374	0
3.524	1	0	4	269.119	0
3.525	1	0	5	224.095	0
3.526	1	0	6	3244.48	0
3.527	1	0	7	120.587	0
3.528	1	0	8	233.289	0
3.529	1	0	9	216.798	0
3.53	1	0	10	1331.22	0
3.531	1	0	11	311.072	0
3.532	1	0	12	175.992	0
3.533	1	0	13	183.433	0
3.534	1	0	14	174.104	0
3.535	1	0	15	180.469	0
3.536	1	0	16	630.302	0
3.537	1	0	17	1166.9	0
3.538	1	0	18	393.669	0
3.539	1	0	19	265.833	0
3.54	1	0	20	5317.74	0
3.541	1	0	21	463.496	0
3.841	1	0	1	218.678	0
3.842	1	0	2	183.278	0
3.843	1	0	3	162.38	0
3.844	1	0	4	278.091	0
3.845	1	0	5	224.725	0
3.846	1	0	6	2980.06	0
3.847	1	0	7	118.983	0
3.848	1	0	8	237.946	0
3.849	1	0	9	219.842	0
3.85	1	0	10	1291.48	0
3.851	1	0	11	322.094	0
3.852	1	0	12	172.101	0
3.853	1	0	13	178.068	0
3.854	1	0	14	178.539	0
3.855	1	0	15	178.497	0
3.856	1	0	16	615.047	0
3.857	1	0	17	1186.18	0
3.858	1	0	18	377.637	0
3.859	1	0	19	268.774	0
3.86	1	0	20	5313.72	0
3.861	1	0	21	462.528	0
4.161	1	0	1	222.267	0
4.162	1	0	2	180.065	0
4.163	1	0	3	157.811	0
4.164	1	0	4	272.321	0
4.165	1	0	5	219.728	0
4.166	1	0	6	3400.45	0
4.167	1	0	7	120.476	0
4.168	1	0	8	237.551	0
4.169	1	0	9	228.649	0
4.17	1	0	10	1248.18	0
4.171	1	0	11	333.372	0
4.172	1	0	12	177.244	0
4.173	1	0	13	173.397	0
4.174	1	0	14	179.808	0
4.175	1	0	15	183.833	0
4.176	1	0	16	650.623	0
4.177	1	0	17	1117.57	0
4.178	1	0	18	365.678	0
4.179	1	0	19	276.516	0
4.18	1	0	20	5314.3	0
4.181	1	0	21	467.746	0
4.481	1	0	1	225.833	0
4.482	1	0	2	176.851	0
4.483	1	0	3	153.42	0
4.484	1	0	4	266.579	0
4.485	1	0	5	214.832	0
4.486	1	0	6	3916.12	0
4.487	1	0	7	121.961	0
4.488	1	0	8	237.018	0
4.489	1	0	9	237.995	0
4.49	1	0	10	1203.24	0
4.491	1	0	11	345.161	0
4.492	1	0	12	182.62	0
4.493	1	0	13	168.875	0
4.494	1	0	14	181.01	0
4.495	1	0	15	189.399	0
4.496	1	0	16	689.13	0
4.497	1	0	17	1053.66	0
4.498	1	0	18	354.105	0
4.499	1	0	19	284.512	0
4.5	1	0	20	5315.19	0
4.501	1	0	21	472.514	0
4.801	1	0	1	229.368	0
4.802	1	0	2	173.644	0
4.803	1	0	3	149.197	0
4.804	1	0	4	260.877	0
4.805	1	0	5	210.038	0
4.806	1	0	6	4558.03	0
4.807	1	0	7	123.437	0
4.808	1	0	8	236.348	0
4.809	1	0	9	247.924	0
4.81	1	0	10	1157.32	0
4.811	1	0	11	357.486	0
4.812	1	0	12	188.244	0
4.813	1	0	13	164.498	0
4.814	1	0	14	182.141	0
4.815	1	0	15	195.208	0
4.816	1	0	16	730.866	0
4.817	1	0	17	994.166	0
4.818	1	0	18	342.915	0
4.819	1	0	19	292.767	0
4.82	1	0	20	5316.09	0
4.821	1	0	21	476.799	0
