timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
100,00017,2,1,0,0,3,17,20.911746,89.000000,2,-0.290522,46.000000,4,-5.637521,35.000000,8,-6.100838,34.000000,5,-7.087758,32.000000,7,-10.888978,24.000000,6,-26.031926,0.000000,,,,,,
100,00020,2,1,0,0,3,20,3.733295,54.000000,8,6.268604,59.000000,2,2.351814,51.000000,7,-4.242215,38.000000,6,-5.046144,36.000000,4,-12.645801,21.000000,5,-14.794679,17.000000,,,,,,
200,00017,6,6,0,0,3,17,6.280185,59.000000,2,8.279653,63.000000,8,1.574085,50.000000,4,-2.739924,41.000000,5,-13.199611,20.000000,7,-13.346805,19.000000,6,-18.589564,9.000000,,,,,,
200,00020,6,6,0,0,3,20,0.595162,48.000000,8,12.171574,71.000000,2,-1.674877,43.000000,7,-3.756676,39.000000,6,-10.876380,24.000000,4,-11.706196,23.000000,5,-12.258577,22.000000,,,,,,
200,00018,6,6,0,0,3,18,-3.033430,40.000000,8,17.340200,81.000000,2,3.465733,53.000000,4,-9.045813,28.000000,7,-13.789842,19.000000,5,-18.784908,8.000000,6,-27.114682,0.000000,,,,,,
200,00006,6,6,0,0,3,6,7.997151,62.000000,2,46.250370,127.000000,8,5.189458,57.000000,5,3.663849,54.000000,7,-0.296818,46.000000,4,-0.425061,46.000000,6,-4.727102,37.000000,,,,,,
200,00021,6,6,0,0,3,21,3.196844,53.000000,7,9.128949,65.000000,8,6.988186,60.000000,2,0.473622,47.000000,4,-2.199870,42.000000,5,-4.940038,36.000000,6,-16.135461,14.000000,,,,,,
200,00019,6,6,0,0,3,19,0.124642,47.000000,8,25.276980,97.000000,2,3.044110,53.000000,4,-8.950348,28.000000,6,-9.031554,28.000000,7,-9.211222,28.000000,5,-19.370477,7.000000,,,,,,
300,00017,7,6,0,0,3,17,20.744488,88.000000,2,10.091563,67.000000,8,-2.507166,41.000000,4,-9.358658,27.000000,5,-11.334219,24.000000,7,-14.228724,18.000000,6,-25.281035,0.000000,,,,,,
300,00018,7,6,0,0,3,18,-5.087499,36.000000,8,19.504135,86.000000,2,0.903472,48.000000,4,-2.865121,41.000000,7,-14.168012,18.000000,5,-18.167006,10.000000,6,-21.145500,4.000000,,,,,,
300,00006,7,6,0,0,3,6,2.215681,51.000000,2,48.626502,127.000000,8,7.942816,62.000000,6,7.666814,62.000000,7,5.106708,57.000000,4,-12.072222,22.000000,5,-13.160596,20.000000,,,,,,
300,00021,7,6,0,0,3,21,-0.466833,45.000000,8,20.637257,88.000000,7,2.727539,52.000000,2,1.762827,50.000000,4,-1.597109,43.000000,5,-3.171955,40.000000,6,-4.747102,37.000000,,,,,,
300,00019,7,6,0,0,3,19,-0.148616,46.000000,8,20.021078,87.000000,2,6.520377,60.000000,4,-5.297290,36.000000,6,-8.362648,30.000000,5,-13.995692,18.000000,7,-14.633964,17.000000,,,,,,
300,00005,7,6,0,0,3,5,24.530323,96.000000,6,10.120871,67.000000,4,8.842400,64.000000,2,0.811713,48.000000,8,-3.108514,40.000000,5,-8.872923,28.000000,7,-9.439546,27.000000,,,,,,
300,00020,7,6,0,0,3,20,-2.485137,41.000000,8,13.795393,74.000000,2,8.267500,63.000000,4,-1.334863,44.000000,7,-1.574580,43.000000,5,-11.813462,23.000000,6,-12.912645,20.000000,,,,,,
600,00005,4,4,0,0,3,5,27.348436,101.000000,4,0.158413,47.000000,8,-0.121513,46.000000,7,-3.760935,39.000000,5,-6.684914,33.000000,2,-9.172603,28.000000,6,-18.935297,8.000000,,,,,,
